task,normalisation,modality,subject,accuracy
legacy_6class_session_labels,none,all_modalities,EPM-E4:1,0.0
legacy_6class_session_labels,none,all_modalities,EPM-E4:103,0.15384615384615385
legacy_6class_session_labels,none,all_modalities,EPM-E4:106,0.44
legacy_6class_session_labels,none,all_modalities,EPM-E4:107,0.38461538461538464
legacy_6class_session_labels,none,all_modalities,EPM-E4:117,0.0
legacy_6class_session_labels,none,all_modalities,EPM-E4:12,0.24
legacy_6class_session_labels,none,all_modalities,EPM-E4:121,0.12
legacy_6class_session_labels,none,all_modalities,EPM-E4:122,0.2692307692307692
legacy_6class_session_labels,none,all_modalities,EPM-E4:128,0.5
legacy_6class_session_labels,none,all_modalities,EPM-E4:129,0.11538461538461539
legacy_6class_session_labels,none,all_modalities,EPM-E4:138,0.8076923076923077
legacy_6class_session_labels,none,all_modalities,EPM-E4:14,0.23076923076923078
legacy_6class_session_labels,none,all_modalities,EPM-E4:141,0.0
legacy_6class_session_labels,none,all_modalities,EPM-E4:15,0.038461538461538464
legacy_6class_session_labels,none,all_modalities,EPM-E4:159,0.0
legacy_6class_session_labels,none,all_modalities,EPM-E4:16,0.23076923076923078
legacy_6class_session_labels,none,all_modalities,EPM-E4:160,0.11538461538461539
legacy_6class_session_labels,none,all_modalities,EPM-E4:2,0.4230769230769231
legacy_6class_session_labels,none,all_modalities,EPM-E4:24,0.07692307692307693
legacy_6class_session_labels,none,all_modalities,EPM-E4:25,0.2692307692307692
legacy_6class_session_labels,none,all_modalities,EPM-E4:34,0.3076923076923077
legacy_6class_session_labels,none,all_modalities,EPM-E4:36,0.4230769230769231
legacy_6class_session_labels,none,all_modalities,EPM-E4:45,0.5
legacy_6class_session_labels,none,all_modalities,EPM-E4:47,0.3076923076923077
legacy_6class_session_labels,none,all_modalities,EPM-E4:49,0.4230769230769231
legacy_6class_session_labels,none,all_modalities,EPM-E4:55,0.2692307692307692
legacy_6class_session_labels,none,all_modalities,EPM-E4:76,0.23076923076923078
legacy_6class_session_labels,none,all_modalities,EPM-E4:77,0.11538461538461539
legacy_6class_session_labels,none,all_modalities,EPM-E4:79,0.5
legacy_6class_session_labels,none,all_modalities,EPM-E4:81,0.5769230769230769
legacy_6class_session_labels,none,all_modalities,EPM-E4:86,0.23076923076923078
legacy_6class_session_labels,none,all_modalities,EPM-E4:91,0.34615384615384615
legacy_6class_session_labels,none,all_modalities,EPM-E4:92,0.34615384615384615
legacy_6class_session_labels,none,all_modalities,PhysioNet:S01,0.2536231884057971
legacy_6class_session_labels,none,all_modalities,PhysioNet:S02,0.5503875968992248
legacy_6class_session_labels,none,all_modalities,PhysioNet:S03,0.5855855855855856
legacy_6class_session_labels,none,all_modalities,PhysioNet:S04,0.6888888888888889
legacy_6class_session_labels,none,all_modalities,PhysioNet:S05,0.5196850393700787
legacy_6class_session_labels,none,all_modalities,PhysioNet:S06,0.3629032258064516
legacy_6class_session_labels,none,all_modalities,PhysioNet:S07,0.8135593220338984
legacy_6class_session_labels,none,all_modalities,PhysioNet:S08,0.7054263565891473
legacy_6class_session_labels,none,all_modalities,PhysioNet:S09,0.6875
legacy_6class_session_labels,none,all_modalities,PhysioNet:S10,0.7185185185185186
legacy_6class_session_labels,none,all_modalities,PhysioNet:S11,0.712
legacy_6class_session_labels,none,all_modalities,PhysioNet:S12,0.6666666666666666
legacy_6class_session_labels,none,all_modalities,PhysioNet:S13,0.3358208955223881
legacy_6class_session_labels,none,all_modalities,PhysioNet:S14,0.8623188405797102
legacy_6class_session_labels,none,all_modalities,PhysioNet:S15,0.8270676691729323
legacy_6class_session_labels,none,all_modalities,PhysioNet:S16,0.6616541353383458
legacy_6class_session_labels,none,all_modalities,PhysioNet:S17,0.5877862595419847
legacy_6class_session_labels,none,all_modalities,PhysioNet:S18,0.46616541353383456
legacy_6class_session_labels,none,all_modalities,PhysioNet:f01,0.6498054474708171
legacy_6class_session_labels,none,all_modalities,PhysioNet:f02,0.4708994708994709
legacy_6class_session_labels,none,all_modalities,PhysioNet:f03,0.47509578544061304
legacy_6class_session_labels,none,all_modalities,PhysioNet:f04,0.5360824742268041
legacy_6class_session_labels,none,all_modalities,PhysioNet:f05,0.3950617283950617
legacy_6class_session_labels,none,all_modalities,PhysioNet:f06,0.5420560747663551
legacy_6class_session_labels,none,all_modalities,PhysioNet:f07,0.6877828054298643
legacy_6class_session_labels,none,all_modalities,PhysioNet:f08,0.4567307692307692
legacy_6class_session_labels,none,all_modalities,PhysioNet:f09,0.5970873786407767
legacy_6class_session_labels,none,all_modalities,PhysioNet:f10,0.6461538461538462
legacy_6class_session_labels,none,all_modalities,PhysioNet:f11,0.35648148148148145
legacy_6class_session_labels,none,all_modalities,PhysioNet:f12,0.6529680365296804
legacy_6class_session_labels,none,all_modalities,PhysioNet:f13,0.26104417670682734
legacy_6class_session_labels,none,all_modalities,PhysioNet:f14,0.24074074074074073
legacy_6class_session_labels,none,all_modalities,PhysioNet:f15,0.7796610169491526
legacy_6class_session_labels,none,all_modalities,PhysioNet:f16,0.5161290322580645
legacy_6class_session_labels,none,all_modalities,PhysioNet:f17,0.171875
legacy_6class_session_labels,none,all_modalities,PhysioNet:f18,0.6909090909090909
legacy_6class_session_labels,none,all_modalities,WESAD:S10,0.6875
legacy_6class_session_labels,none,all_modalities,WESAD:S11,0.2978723404255319
